lat,long,country_code,country_name,nearest_place,admin1
21.303553099,-157.832235138,US,United States,Honolulu,Hawaii
21.294636767,-157.842313052,US,United States,Honolulu,Hawaii
64.854182202,-147.762691115,US,United States,College,Alaska
61.2154377,-149.8984237,US,United States,Anchorage,Alaska
21.446242931,-158.016412197,US,United States,Mililani Town,Hawaii
21.39754655,-157.974454846,US,United States,"Pearl City, Manana",Hawaii
21.390887,-158.034147,US,United States,Royal Kunia,Hawaii
20.878089577,-156.456298416,US,United States,Kahului,Hawaii
60.622546004,-151.29338737,US,United States,Nikiski,Alaska
60.296015533,-151.287527312,US,United States,Cohoe,Alaska
21.403029102,-157.967964081,US,United States,"Pearl City, Manana",Hawaii
20.8683459,-156.3404091,US,United States,Makawao,Hawaii
19.70506188,-155.11101798,US,United States,Hilo,Hawaii
21.440118956,-158.180314666,US,United States,Waianae,Hawaii
20.880085129,-156.468495805,US,United States,Kahului,Hawaii
61.529455549,-149.657856769,US,United States,Knik-Fairview,Alaska
64.857303561,-147.690675777,US,United States,Fairbanks,Alaska
61.139258436,-149.906584799,US,United States,Anchorage,Alaska
19.632399789,-155.950915401,US,United States,Holualoa,Hawaii
21.370998307,-158.021697264,US,United States,Waipahu,Hawaii
21.287742975,-157.832729046,US,United States,Honolulu,Hawaii
64.830477249,-147.671396432,US,United States,Fairbanks,Alaska
61.215872613,-149.802812087,US,United States,Anchorage,Alaska
21.4548287,-158.1656484,US,United States,Waianae,Hawaii
21.31396856,-158.018760472,US,United States,'Ewa Beach,Hawaii
4.636786023,-74.157008394,CO,Colombia,Bogota,Bogota D.C.
21.3660469,-157.734863283,US,United States,Waimanalo,Hawaii
61.200494139,-149.888944982,US,United States,Anchorage,Alaska
61.140904011,-149.870756506,US,United States,Anchorage,Alaska
21.295039442,-157.842242202,US,United States,Honolulu,Hawaii
21.301235423,-157.858157899,US,United States,Honolulu,Hawaii
21.400014448,-157.958972833,US,United States,Waimalu,Hawaii
20.7615291,-156.4562138,US,United States,Kihei,Hawaii
64.829589877,-147.847658427,US,United States,College,Alaska
21.3932799,-158.0021142,US,United States,Waipahu,Hawaii
21.2951124,-157.8421192,US,United States,Honolulu,Hawaii
61.574600281,-149.103570488,US,United States,Palmer,Alaska
61.192026282,-149.881342362,US,United States,Anchorage,Alaska
64.834963287,-147.744717251,US,United States,Fairbanks,Alaska
61.195292702,-149.867686439,US,United States,Anchorage,Alaska
60.519014331,-151.176216713,US,United States,Kenai,Alaska
61.212123942,-149.744181356,US,United States,Elmendorf Air Force Base,Alaska
20.816477294,-156.467640372,US,United States,Waikapu,Hawaii
61.568527717,-149.364568391,US,United States,Lakes,Alaska
20.880866861,-156.481694173,US,United States,Kahului,Hawaii
60.564398819,-151.225933921,US,United States,Kenai,Alaska
64.841646425,-147.608937084,US,United States,Badger,Alaska
21.425899903,-157.946855393,US,United States,Waimalu,Hawaii
21.342578213,-158.046130963,US,United States,'Ewa Villages,Hawaii
19.6722193,-155.9865135,US,United States,Kailua-Kona,Hawaii
21.291836183,-157.825098628,US,United States,Honolulu,Hawaii
61.3092148,-149.5344922,US,United States,Eagle River,Alaska
21.309068037,-157.833018804,US,United States,Honolulu,Hawaii
21.398792286,-157.975062957,US,United States,"Pearl City, Manana",Hawaii
21.34277263,-158.0758127,US,United States,Makakilo City,Hawaii
6.146368993,-75.612785832,CO,Colombia,Sabaneta,Antioquia
19.172249438,-70.640956841,DO,Dominican Republic,Jarabacoa,La Vega
64.856971047,-147.691472419,US,United States,Fairbanks,Alaska
61.1323928,-149.9226911,US,United States,Anchorage,Alaska
61.649298941,-149.603337811,US,United States,Meadow Lakes,Alaska
61.551340874,-149.518079866,US,United States,Wasilla,Alaska
21.342732087,-158.075160664,US,United States,Makakilo City,Hawaii
21.390800722,-158.034587132,US,United States,Village Park,Hawaii
61.211510236,-149.743007029,US,United States,Elmendorf Air Force Base,Alaska
21.406058362,-157.951539333,US,United States,Waimalu,Hawaii
61.539699,-149.5174339,US,United States,Knik-Fairview,Alaska
19.577889566,-70.986968448,DO,Dominican Republic,Esperanza,Valverde
19.645837693,-155.990304088,US,United States,Kailua-Kona,Hawaii
21.339949739,-157.876723303,US,United States,Honolulu,Hawaii
21.39664792,-157.97711029,US,United States,"Pearl City, Manana",Hawaii
21.2839951,-157.8140956,US,United States,Honolulu,Hawaii
21.397643406,-157.975070885,US,United States,"Pearl City, Manana",Hawaii
21.417990135,-157.996287707,US,United States,Waipio,Hawaii
21.296957736,-157.842880496,US,United States,Honolulu,Hawaii
21.42450585,-157.80945492,US,United States,He'eia,Hawaii
19.518832384,-155.139207923,US,United States,Mountain View,Hawaii
19.526433268,-154.994688653,US,United States,Ainaloa,Hawaii
21.294807453,-157.84217212,US,United States,Honolulu,Hawaii
12.937909915,77.696631111,IN,India,Bangalore,Karnataka
21.404439064,-158.03440756,US,United States,Village Park,Hawaii
4.542912021,-75.693692888,CO,Colombia,Armenia,Quindio
19.700465231,-155.059334757,US,United States,Hilo,Hawaii
19.72542803,-155.087326099,US,United States,Hilo,Hawaii
21.342433102,-158.07457175,US,United States,Makakilo City,Hawaii
21.3980183,-157.9744943,US,United States,"Pearl City, Manana",Hawaii
21.269168674,-157.822065585,US,United States,Honolulu,Hawaii
21.3976339,-157.9750367,US,United States,"Pearl City, Manana",Hawaii
21.3422415,-158.0741031,US,United States,Makakilo City,Hawaii
12.937909861,77.696631097,IN,India,Bangalore,Karnataka
21.283739736,-157.816651583,US,United States,Honolulu,Hawaii
